PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(µS),TRX_LAYER_ARRIVAL_TIME(µS),NW_LAYER_ARRIVAL_TIME(µS),MAC_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_START_TIME(µS),PHY_LAYER_END_TIME(µS),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4540046.160,4540056.440,4540056.440,4540056.440,4540061.720,4540066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,36482,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
229,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4560000.000,4560000.000,4560000.000,4560000.000,4560000.000,4560018.080,4560023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,33620,36482,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
229,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4560000.000,4560000.000,4560023.080,4560023.080,4560023.080,4560041.160,4560046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,33620,36482,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4560046.160,4560046.160,4560046.160,4560046.160,4560051.440,4560056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,36642,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4560046.160,4560056.440,4560056.440,4560056.440,4560061.720,4560066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,36642,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
230,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4580000.000,4580000.000,4580000.000,4580000.000,4580000.000,4580018.080,4580023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,33780,36642,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
230,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,4580000.000,4580000.000,4580023.080,4580023.080,4580023.080,4580041.160,4580046.160,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,33780,36642,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,4580046.160,4580046.160,4580046.160,4580046.160,4580051.440,4580056.440,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,36802,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,4580046.160,4580056.440,4580056.440,4580056.440,4580061.720,4580066.720,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,36802,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
231,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,4600000.000,4600000.000,4600000.000,4600000.000,4600000.000,4600018.080,4600023.080,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,33940,36802,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
