Application Name,Application ID,Source,Destination,Packet ID,Segment ID,Packet or Segment Start Time(ms),Packet or Segment End Time(ms),Packet or Segment size(Bytes),Latency(Microseconds),Jitter(Microseconds),Throughput(Mbps),
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,147,0,2920.000000,2920.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,148,0,2940.000000,2940.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,149,0,2960.000000,2960.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,150,0,2980.000000,2980.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,151,0,3000.000000,3000.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,152,0,3020.000000,3020.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,153,0,3040.000000,3040.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,154,0,3060.000000,3060.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,155,0,3080.000000,3080.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,156,0,3100.000000,3100.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,157,0,3120.000000,3120.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,158,0,3140.000000,3140.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,159,0,3160.000000,3160.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,160,0,3180.000000,3180.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,161,0,3200.000000,3200.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,162,0,3220.000000,3220.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,163,0,3240.000000,3240.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,164,0,3260.000000,3260.046160,160.000000,46.160000,0.000000,-1,
App1_VOICE,1,WIRED_NODE_2,WIRED_NODE_5,165,0,3280.000000,3280.046160,160.000000,46.160000,0.000000,-1,
