Time (Microseconds),Application ID,Application Name,Source Device Name,Source ID,Destination Device Name,Destination ID,Source Socket Address,Destination Socket Address,Sender Window Size(Bytes),
740409.516393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740428.556393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740428.556393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740447.596393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740447.596393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740466.636393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740466.636393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740485.676393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740485.676393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740504.716393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740504.716393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740523.756393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740523.756393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740542.796393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740542.796393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740561.836393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740561.836393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740580.876393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740580.876393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740599.916393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740599.916393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740618.956393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740618.956393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740637.996393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
740637.996393,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
760000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,2900,
760000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3220,
760046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
760046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
780000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3220,
780000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3380,
780046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
780046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
800000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3380,
800000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3540,
800046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
800046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
820000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3540,
820000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3700,
820046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
820046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
840000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3700,
840000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3860,
840046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
840046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
860000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,3860,
860000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4020,
860046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
860046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
880000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4020,
880000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4180,
880046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
880046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
900000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4180,
900000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4340,
900046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
900046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
920000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4340,
920000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4500,
920046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
920046.160000,1,App1_VOICE,WIRED_NODE_5,5,WIRED_NODE_2,2,192.170.0.2:36934,192.168.0.2:82,4381,
940000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4500,
940000.000000,1,App1_VOICE,WIRED_NODE_2,2,WIRED_NODE_5,5,192.168.0.2:82,192.170.0.2:36934,4660,
