Link Id,Link Type,Link Medium,Packet Id,Transmitter,Receiver,Packet Size(Bytes),Physical Out Time(ms),Physical In Time(ms),Throughput(Mbps),
3,P2P,Wired,59,ROUTER_1,WIRED_NODE_5,226.000000,1160.041160,1160.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1160.051440,1160.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1160.061720,1160.066720,-1,
1,P2P,Wired,60,WIRED_NODE_2,ROUTER_1,226.000000,1180.018080,1180.023080,-1,
3,P2P,Wired,60,ROUTER_1,WIRED_NODE_5,226.000000,1180.041160,1180.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1180.051440,1180.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1180.061720,1180.066720,-1,
1,P2P,Wired,61,WIRED_NODE_2,ROUTER_1,226.000000,1200.018080,1200.023080,-1,
3,P2P,Wired,61,ROUTER_1,WIRED_NODE_5,226.000000,1200.041160,1200.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1200.051440,1200.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1200.061720,1200.066720,-1,
1,P2P,Wired,62,WIRED_NODE_2,ROUTER_1,226.000000,1220.018080,1220.023080,-1,
3,P2P,Wired,62,ROUTER_1,WIRED_NODE_5,226.000000,1220.041160,1220.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1220.051440,1220.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1220.061720,1220.066720,-1,
1,P2P,Wired,63,WIRED_NODE_2,ROUTER_1,226.000000,1240.018080,1240.023080,-1,
3,P2P,Wired,63,ROUTER_1,WIRED_NODE_5,226.000000,1240.041160,1240.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1240.051440,1240.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1240.061720,1240.066720,-1,
1,P2P,Wired,64,WIRED_NODE_2,ROUTER_1,226.000000,1260.018080,1260.023080,-1,
3,P2P,Wired,64,ROUTER_1,WIRED_NODE_5,226.000000,1260.041160,1260.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1260.051440,1260.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1260.061720,1260.066720,-1,
1,P2P,Wired,65,WIRED_NODE_2,ROUTER_1,226.000000,1280.018080,1280.023080,-1,
3,P2P,Wired,65,ROUTER_1,WIRED_NODE_5,226.000000,1280.041160,1280.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,1280.051440,1280.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,1280.061720,1280.066720,-1,
1,P2P,Wired,66,WIRED_NODE_2,ROUTER_1,226.000000,1300.018080,1300.023080,-1,
